,Algorithm,Dataset,MAE,MSE,Score,MAE-train,MSE-train,Score-train,Seasonal-value
18,Random-Forest,dataset_n,0.04027345889714311,0.002698109734233569,0.021485784315688337,0.015046129490455844,0.0003816024073196612,0.0077138659488877525,15
19,Random-Forest,dataset_n_outliers,0.04027345889714311,0.002698109734233569,0.021485784315688337,0.015046129490455844,0.0003816024073196612,0.0077138659488877525,15
20,Random-Forest,dataset_n_outliers_l,0.04027345889714311,0.002698109734233569,0.021485784315688337,0.015046129490455844,0.0003816024073196612,0.0077138659488877525,15
21,Random-Forest,dataset_n_outliers_representative,0.18322608123573206,0.044977365864178234,0.11410172354995515,0.07423894680610275,0.007752961651048615,0.04099595422857569,15
22,Random-Forest,dataset_n_outliers_generated,0.025471547818718222,0.0012170908273354455,0.013344319323026835,0.03218535979850246,0.0018651449355547712,0.017025252367028617,15
23,Random-Forest,dataset_n_outliers_diff1,0.037776471759472866,0.0025643283728514652,0.020170400066162164,0.017231679620640837,0.0004919797777466686,0.008861829699193753,15
24,Random-Forest,dataset_n_outliers_diff2,0.044344119187286826,0.0033943322822288214,0.023869225734757825,0.017255877131044275,0.0005029362558301032,0.008879406693437189,15
25,Random-Forest,dataset_n_outliers_sqrt,0.02780204124471346,0.001346592931167606,0.014574317087940533,0.010442192700849607,0.00019307364655254922,0.005317633173701078,15
26,Random-Forest,dataset_n_outliers_log,0.08299125422821566,0.014465093523617165,0.04872817387591641,0.030583108345208908,0.0020015551451051843,0.016292331745157047,15
27,Bagging,dataset_n,0.04162234298718519,0.003017025896706478,0.022319684441945833,0.03513105197724675,0.0021483090511793573,0.018639680514213056,1
28,Bagging,dataset_n_outliers,0.04162234298718519,0.003017025896706478,0.022319684441945833,0.03513105197724675,0.0021483090511793573,0.018639680514213056,1
29,Bagging,dataset_n_outliers_l,0.04162234298718519,0.003017025896706478,0.022319684441945833,0.03513105197724675,0.0021483090511793573,0.018639680514213056,1
30,Bagging,dataset_n_outliers_representative,0.1996203252848677,0.05677379331005969,0.1281970592974637,0.16188825620538647,0.03773083672924331,0.09980954646731488,1
31,Bagging,dataset_n_outliers_generated,0.05885103607560429,0.006432474760747781,0.03264175541817604,0.08126934211260231,0.012332912869128616,0.046801127490865464,1
32,Bagging,dataset_n_outliers_diff1,0.03951223097686233,0.0027960785130310304,0.02115415474494668,0.034626590170652984,0.0020957789764232725,0.01836118457353813,1
33,Bagging,dataset_n_outliers_diff2,0.05039237249820977,0.004407462799045622,0.027399917648627696,0.043245274174636014,0.003229925735986779,0.023237599955311397,1
34,Bagging,dataset_n_outliers_sqrt,0.02946182667429002,0.0016789749166240635,0.015570400795457042,0.024785240325762098,0.0011733587368716416,0.01297929953131687,1
35,Bagging,dataset_n_outliers_log,0.09278723979594632,0.026532882147133362,0.059660060971539836,0.07703202268997504,0.017204844917049395,0.047118433803512216,1
36,Bagging,dataset_n,0.039664967509791246,0.0026986165188587637,0.021181792014325004,0.03208486937130287,0.001770472117140624,0.01692767074422175,7
37,Bagging,dataset_n_outliers,0.039664967509791246,0.0026986165188587637,0.021181792014325004,0.03208486937130287,0.001770472117140624,0.01692767074422175,7
38,Bagging,dataset_n_outliers_l,0.039664967509791246,0.0026986165188587637,0.021181792014325004,0.03208486937130287,0.001770472117140624,0.01692767074422175,7
39,Bagging,dataset_n_outliers_representative,0.17939653125525312,0.04390057801136578,0.11164855463330944,0.15822649481773796,0.034859425272747394,0.09654296004524268,7
40,Bagging,dataset_n_outliers_generated,0.04127396504116902,0.002800759810619315,0.02203736242589417,0.06465864840037112,0.008042233312481814,0.03635044085642647,7
41,Bagging,dataset_n_outliers_diff1,0.03927313207902856,0.002744046612242369,0.021008589345635462,0.031397227119141294,0.0017589802864228983,0.016578103702782097,7
42,Bagging,dataset_n_outliers_diff2,0.0437629345401031,0.0033016659643552806,0.023532300252229188,0.03556512509807562,0.0021670278668777477,0.018866076482476683,7
43,Bagging,dataset_n_outliers_sqrt,0.027637759919235234,0.0013741251167764057,0.01450594251800582,0.022286075670802152,0.0009032783416526672,0.01159467700622741,7
44,Bagging,dataset_n_outliers_log,0.08188110775811308,0.014700413494151765,0.048290760626132426,0.06597418243365195,0.009583354737493494,0.037778768585572726,7
45,Bagging,dataset_n,0.03893131542681599,0.002615161547618482,0.020773238487217238,0.017592266088727264,0.0005347861350497607,0.009063526111888513,15
46,Bagging,dataset_n_outliers,0.03893131542681599,0.002615161547618482,0.020773238487217238,0.017592266088727264,0.0005347861350497607,0.009063526111888513,15
47,Bagging,dataset_n_outliers_l,0.03893131542681599,0.002615161547618482,0.020773238487217238,0.017592266088727264,0.0005347861350497607,0.009063526111888513,15
48,Bagging,dataset_n_outliers_representative,0.16991886927539437,0.03979883020734855,0.10485884974137147,0.09445155189788979,0.012218378934454674,0.05333496541617223,15
49,Bagging,dataset_n_outliers_generated,0.02528984317426652,0.0012337743012616452,0.013261808737764082,0.03567174503749444,0.002432422888991704,0.019052083963243073,15
50,Bagging,dataset_n_outliers_diff1,0.03819731250141276,0.0026144128016601445,0.020405862651536454,0.017327090991470943,0.0005397293089666659,0.008933410150218805,15
51,Bagging,dataset_n_outliers_diff2,0.043644951253884005,0.003229530314139932,0.023437240784011968,0.01959000655010353,0.0006567382922635842,0.010123372421183557,15
52,Bagging,dataset_n_outliers_sqrt,0.02676240823225403,0.0013103511647562754,0.014036379698505153,0.012150995058322322,0.00026914029497181636,0.00621006767664707,15
53,Bagging,dataset_n_outliers_log,0.07953144741050974,0.01401694895709294,0.04677419818380134,0.035921159253586354,0.0028604907396580256,0.01939082499662219,15
54,Ada-Boost,dataset_n,0.048205845797934035,0.004099327698523308,0.026152586748228672,0.023266036627271086,0.0013057353917812872,0.012285886009526186,1
55,Ada-Boost,dataset_n_outliers,0.048205845797934035,0.004099327698523308,0.026152586748228672,0.023266036627271086,0.0013057353917812872,0.012285886009526186,1
56,Ada-Boost,dataset_n_outliers_l,0.048205845797934035,0.004099327698523308,0.026152586748228672,0.023266036627271086,0.0013057353917812872,0.012285886009526186,1
57,Ada-Boost,dataset_n_outliers_representative,0.26796359613421467,0.11053031208014127,0.18924695410717796,0.06465723795231273,0.014034220838501643,0.03934572939540719,1
58,Ada-Boost,dataset_n_outliers_generated,0.033164072931849226,0.0031020642047551415,0.018133068568302185,0.008060579535273926,0.0004440465868311409,0.0042523130610525334,1
59,Ada-Boost,dataset_n_outliers_diff1,0.044849240062660674,0.003604437345290131,0.024226838703975403,0.020537783250932414,0.0011263745541608757,0.010832078902546645,1
60,Ada-Boost,dataset_n_outliers_diff2,0.059354978861233976,0.0061176343740274915,0.03273630661763073,0.02512686134897891,0.0017369494954830845,0.013431905422230996,1
61,Ada-Boost,dataset_n_outliers_sqrt,0.03440701654005825,0.0022862818690361033,0.018346649204547174,0.016025518005895405,0.0006566931666704816,0.008341105586282944,1
62,Ada-Boost,dataset_n_outliers_log,0.1065599107325698,0.03268439403858268,0.06962215238557624,0.04740459125726387,0.007553520591043758,0.027479055924153815,1
63,Ada-Boost,dataset_n,0.04101674527975115,0.002881661158664943,0.021949203219208048,1.7692797205181778e-20,1.964295082721643e-36,8.84639860259089e-21,7
64,Ada-Boost,dataset_n_outliers,0.04101674527975115,0.002881661158664943,0.021949203219208048,1.7692797205181778e-20,1.964295082721643e-36,8.84639860259089e-21,7
65,Ada-Boost,dataset_n_outliers_l,0.04101674527975115,0.002881661158664943,0.021949203219208048,1.7692797205181778e-20,1.964295082721643e-36,8.84639860259089e-21,7
66,Ada-Boost,dataset_n_outliers_representative,0.2285595324124303,0.07126978402550414,0.1499146582189672,0.0,0.0,0.0,7
67,Ada-Boost,dataset_n_outliers_generated,0.010102346768172794,0.0008048892280222426,0.005453617998097519,0.0,0.0,0.0,7
68,Ada-Boost,dataset_n_outliers_diff1,0.03873982324080554,0.002719829974382644,0.020729826607594093,7.743574913160543e-21,1.7054063108459678e-37,3.871787456580271e-21,7
69,Ada-Boost,dataset_n_outliers_diff2,0.04413137930418406,0.0033219173793581592,0.023726648341771107,1.0262410992548814e-19,4.83846051289098e-36,5.131205496274407e-20,7
70,Ada-Boost,dataset_n_outliers_sqrt,0.028514639112170004,0.001492771234394489,0.015003705173282247,3.539970349904392e-20,3.930156588954228e-36,1.7699851749521963e-20,7
71,Ada-Boost,dataset_n_outliers_log,0.08479278575776081,0.01598290262880699,0.0503878441932839,-0.0,-0.0,-0.0,7
72,Ada-Boost,dataset_n,0.03931375743758908,0.002726278985672489,0.021020018211630784,1.7792035651044175e-20,1.975312763474088e-36,8.896017825522089e-21,15
73,Ada-Boost,dataset_n_outliers,0.03931375743758908,0.002726278985672489,0.021020018211630784,1.7792035651044175e-20,1.975312763474088e-36,8.896017825522089e-21,15
74,Ada-Boost,dataset_n_outliers_l,0.03931375743758908,0.002726278985672489,0.021020018211630784,1.7792035651044175e-20,1.975312763474088e-36,8.896017825522089e-21,15
75,Ada-Boost,dataset_n_outliers_representative,0.1464506077442012,0.034389378320419245,0.09041999303231023,0.0,0.0,0.0,15
76,Ada-Boost,dataset_n_outliers_generated,0.006344858817826781,0.0004014301078724218,0.0033731444628496013,0.0,0.0,0.0,15
