,Algorithm,Dataset,MAE,MSE,Score,MAE-train,MSE-train,Score-train,Seasonal-value
18,Random-Forest-X,dataset_n,0.03746553489762554,0.0023254228730229857,0.019895478885324263,0.014057038350790543,0.00033113928220126663,0.007194088816495905,15
19,Random-Forest-X,dataset_n_outliers,0.03746553489762554,0.0023254228730229857,0.019895478885324263,0.014057038350790543,0.00033113928220126663,0.007194088816495905,15
20,Random-Forest-X,dataset_n_outliers_l,0.036630593051094534,0.0022447580717441626,0.01943767556141935,0.013735442531211704,0.0003161574962275847,0.007025800013719644,15
21,Random-Forest-X,dataset_n_outliers_representative,0.09161874691500801,0.012422427451863267,0.05202058718343564,0.039829907311474365,0.002382122158751023,0.021106014735112692,15
22,Random-Forest-X,dataset_n_outliers_generated,0.019322897534831338,0.0007129872308187705,0.010017942382825055,0.025221762985097367,0.0012084513997962787,0.013215107192446823,15
23,Random-Forest-X,dataset_n_outliers_diff1,0.035216822446737364,0.002251124506125812,0.01873397347643159,0.015066702926704936,0.00038338278057801453,0.007725042853641476,15
24,Random-Forest-X,dataset_n_outliers_diff2,0.04267337476302714,0.0031410186318021004,0.02290719669741462,0.01644884502567314,0.00046335499218902703,0.008456100008931084,15
25,Random-Forest-X,dataset_n_outliers_sqrt,0.026346772377342682,0.001252733812932236,0.013799753095137458,0.009899347282756732,0.00017841224282045043,0.005038879762788591,15
26,Random-Forest-X,dataset_n_outliers_log,0.0788974285826976,0.014105766434529193,0.0465015975086134,0.02949992222467866,0.001974352467314425,0.015737137345996542,15
27,Bagging-X,dataset_n,0.03151818561064957,0.0017698203577512686,0.01664400298420042,0.014334998273588497,0.00036841008030927475,0.007351704176948886,1
28,Bagging-X,dataset_n_outliers,0.03151818561064957,0.0017698203577512686,0.01664400298420042,0.014334998273588497,0.00036841008030927475,0.007351704176948886,1
29,Bagging-X,dataset_n_outliers_l,0.03138002975550384,0.00173966870522128,0.016559849230362557,0.014202425913843722,0.00036004778464343546,0.007281236849243579,1
30,Bagging-X,dataset_n_outliers_representative,0.0570609412189747,0.006059997733844825,0.031560469476409767,0.02794407179434321,0.0014073552139912085,0.01467571350416721,1
31,Bagging-X,dataset_n_outliers_generated,0.02369075573688813,0.0011791103269367775,0.012434933031912454,0.030263132016603675,0.0017787284516660362,0.016020930234134857,1
32,Bagging-X,dataset_n_outliers_diff1,0.028973468251936224,0.0015595635597529967,0.01526651590584461,0.013460530245459202,0.00033426718147650637,0.006897398713467854,1
33,Bagging-X,dataset_n_outliers_diff2,0.04296750564449789,0.003205589417421466,0.023086547530959678,0.019517835560760612,0.0006748326500728523,0.010096334105416733,1
34,Bagging-X,dataset_n_outliers_sqrt,0.02274586954237732,0.001090570228576393,0.011918219885476856,0.01042462483134846,0.0002346894111257433,0.005329657121237101,1
35,Bagging-X,dataset_n_outliers_log,0.07396110528415628,0.021829990613405043,0.04789554794878066,0.03381423572583786,0.0044184394889439475,0.019116337607390906,1
36,Bagging-X,dataset_n,0.032660449642970046,0.0018279783727142896,0.01724421400784217,0.014705003771449945,0.00037340504895190714,0.007539204410200926,7
37,Bagging-X,dataset_n_outliers,0.032660449642970046,0.0018279783727142896,0.01724421400784217,0.014705003771449945,0.00037340504895190714,0.007539204410200926,7
38,Bagging-X,dataset_n_outliers_l,0.03249114991002794,0.0018116047608189815,0.01715137733542346,0.01465029047678707,0.00037183299092443886,0.007511061733855754,7
39,Bagging-X,dataset_n_outliers_representative,0.053406233266743035,0.004942949203849529,0.029174591235296282,0.02850643092313316,0.0014591827957056071,0.014982806859419384,7
40,Bagging-X,dataset_n_outliers_generated,0.019407623910354367,0.000802697661774137,0.010105160786064252,0.027795986959435953,0.001500712747034206,0.01464834985323508,7
41,Bagging-X,dataset_n_outliers_diff1,0.03109496757600381,0.00174166188132415,0.01641831472866398,0.013930938973042895,0.00035038079869297793,0.007140659885867936,7
42,Bagging-X,dataset_n_outliers_diff2,0.03917477945938052,0.002665871800926499,0.02092032563015351,0.017802564917765506,0.0005512963969452034,0.009176930657355354,7
43,Bagging-X,dataset_n_outliers_sqrt,0.023208677777954503,0.0010180423916585602,0.012113360084806532,0.010541266248861533,0.00021174801254067815,0.005376507130701105,7
44,Bagging-X,dataset_n_outliers_log,0.0704373913921542,0.011816072125633199,0.0411267317588937,0.03199176359916399,0.002489124273819538,0.017240443936491764,7
45,Bagging-X,dataset_n,0.032695749170494816,0.0018363110050510518,0.017266030087772933,0.014696948148649577,0.0003764901665956616,0.007536719157622619,15
46,Bagging-X,dataset_n_outliers,0.032695749170494816,0.0018363110050510518,0.017266030087772933,0.014696948148649577,0.0003764901665956616,0.007536719157622619,15
47,Bagging-X,dataset_n_outliers_l,0.03264007163305689,0.0018278381625402667,0.017233954897798578,0.014634724967643892,0.00037220164442038344,0.007503463306032138,15
