,Layer,Dataset,Seasonal-value,loss,train_loss
34,RNN,dataset_n_outliers_sqrt,D-X,0.028697744756937028,0.027213268959894777
35,RNN,dataset_n_outliers_log,D-X,0.08480120673775673,0.08241408299654722
36,RNN,dataset_n,7D-X,0.061367820203304294,0.05766698522493243
37,RNN,dataset_n_outliers,7D-X,0.05672730542719364,0.05617567114531994
38,RNN,dataset_n_outliers_l,7D-X,0.05942615419626236,0.05541439447551966
39,RNN,dataset_n_outliers_representative,7D-X,0.1836628034710884,0.18683415192824143
40,RNN,dataset_n_outliers_generated,7D-X,0.05683700032532215,0.08225089810464693
41,RNN,dataset_n_outliers_diff1,7D-X,0.04045750834047794,0.037904483778402207
42,RNN,dataset_n_outliers_diff2,7D-X,0.051855243369936944,0.05017152111977339
43,RNN,dataset_n_outliers_sqrt,7D-X,0.04633997604250908,0.044762065168470144
44,RNN,dataset_n_outliers_log,7D-X,0.11122154593467712,0.10714264493435621
45,RNN,dataset_n,15D-X,0.05994965471327305,0.05732983111953124
46,RNN,dataset_n_outliers,15D-X,0.05845090560615063,0.05638456783997707
47,RNN,dataset_n_outliers_l,15D-X,0.057646436244249345,0.05845917923710285
48,RNN,dataset_n_outliers_representative,15D-X,0.18841180503368377,0.1885227652696463
49,RNN,dataset_n_outliers_generated,15D-X,0.0589446309953928,0.08248423487601574
50,RNN,dataset_n_outliers_diff1,15D-X,0.03857573177665472,0.038397787616421014
51,RNN,dataset_n_outliers_diff2,15D-X,0.04858846180140972,0.050965809621489964
52,RNN,dataset_n_outliers_sqrt,15D-X,0.04314442463219166,0.039604708313559875
53,RNN,dataset_n_outliers_log,15D-X,0.13120934516191482,0.11384834521091901
54,LSTM,dataset_n,D,0.18069666177034377,0.19553476050496102
55,LSTM,dataset_n_outliers,D,0.19632093906402587,0.19118086136877538
56,LSTM,dataset_n_outliers_l,D,0.20404978692531586,0.18923861384391785
57,LSTM,dataset_n_outliers_representative,D,0.19474824666976928,0.18920520979624528
58,LSTM,dataset_n_outliers_generated,D,0.19476482421159744,0.19184174239635468
59,LSTM,dataset_n_outliers_diff1,D,0.037794356048107144,0.03871318656019866
60,LSTM,dataset_n_outliers_diff2,D,0.053221887722611425,0.05014012856408954
61,LSTM,dataset_n_outliers_sqrt,D,0.13447651267051697,0.1320426743477583
62,LSTM,dataset_n_outliers_log,D,0.3539613038301468,0.3797819297760725
63,LSTM,dataset_n,7D,0.2014402776956558,0.18839514665305615
64,LSTM,dataset_n_outliers,7D,0.1935678780078888,0.19203554168343545
65,LSTM,dataset_n_outliers_l,7D,0.18461337089538574,0.19195467568933963
66,LSTM,dataset_n_outliers_representative,7D,0.1949357345700264,0.17991010558146697
67,LSTM,dataset_n_outliers_generated,7D,0.1927908256649971,0.19298987168332804
68,LSTM,dataset_n_outliers_diff1,7D,0.04102372340857983,0.037095391051843764
69,LSTM,dataset_n_outliers_diff2,7D,0.05466010719537735,0.049125554086640474
70,LSTM,dataset_n_outliers_sqrt,7D,0.12944595217704774,0.1303724765777588
71,LSTM,dataset_n_outliers_log,7D,0.38716757893562315,0.3634436972439289
72,LSTM,dataset_n,15D,0.20382421910762788,0.18600296171811911
73,LSTM,dataset_n_outliers,15D,0.19459334015846252,0.1884434081805058
74,LSTM,dataset_n_outliers_l,15D,0.18107315748929978,0.19154623991403824
75,LSTM,dataset_n_outliers_representative,15D,0.18234878927469253,0.18625032557890966
76,LSTM,dataset_n_outliers_generated,15D,0.18312246799468995,0.19339938631706072
77,LSTM,dataset_n_outliers_diff1,15D,0.03912666346877813,0.03764232181203671
78,LSTM,dataset_n_outliers_diff2,15D,0.05016229040920735,0.050701831395809464
79,LSTM,dataset_n_outliers_sqrt,15D,0.1274689555168152,0.1301194503903389
80,LSTM,dataset_n_outliers_log,15D,0.36301804780960084,0.3658935580498133
81,LSTM,dataset_n,D-X,0.1843677818775177,0.19359501115977765
82,LSTM,dataset_n_outliers,D-X,0.19468899220228195,0.19147548973560333
83,LSTM,dataset_n_outliers_l,D-X,0.1880900517106056,0.1931052777916193
84,LSTM,dataset_n_outliers_representative,D-X,0.19712276011705399,0.19029836012766913
85,LSTM,dataset_n_outliers_generated,D-X,0.196001335978508,0.19379365029542342
